Zone-1,Zone-2,Zone-3,Zone -4,Zone-5,Zone-6,Zone-7
0.97668,0.625272,0.595674,0.622127,0.65709,1.409437,0.851199
0.975435,0.652185,0.622757,0.649209,0.683767,1.276481,0.870327
1.27603,1.22315,0.608426,0.634685,0.668994,1.232337,0.864751
1.20491,1.43079,0.604127,0.632404,0.665975,1.200345,0.827223
0.904126,0.648521,0.622893,0.657125,0.684101,1.183307,0.817782
0.914474,0.662191,0.654147,0.707179,0.709764,1.247091,0.863226
1.01319,0.837023,0.868288,0.962813,0.91867,1.403103,1.013092
1.23861,1.21774,1.284462,1.423924,1.350704,1.786615,1.248108
1.24574,1.46322,1.491306,1.629466,1.615678,1.7556,1.21857
1.2017,1.5814,1.479147,1.560488,1.67932,1.590258,1.052642
1.58895,2.16776,1.372025,1.460327,1.558187,1.431071,0.900788
1.43067,2.03824,1.260831,1.338593,1.397982,1.279254,0.805041
0.810923,1.0742,1.018118,1.078696,1.128057,1.149682,0.702045
0.67694,1.72676,0.768063,0.812617,0.852611,0.882001,0.503513
2.56519,3.47397,0.513548,0.539835,0.569144,0.742121,0.39398
0.451079,0.496532,0.426298,0.445636,0.470853,0.706236,0.345108
0.421556,0.403569,0.389108,0.405384,0.428748,0.669477,0.315679
0.406893,0.389219,0.37499,0.390992,0.414226,0.65001,0.301947
0.425062,0.374667,0.361137,0.376316,0.399161,0.661618,0.320692
0.48698,0.415955,0.399613,0.41706,0.4431,0.741724,0.382858
0.710534,0.629536,0.583381,0.62202,0.686408,1.077054,0.57939
1.87874,2.42175,0.777076,0.856003,0.997052,1.156424,0.709656
3.4231,4.98454,0.715486,0.786491,0.903976,1.189231,0.775643
1.59384,2.35724,0.590005,0.623017,0.671127,1.231845,0.839701
2.01989,1.41107,0.706719,0.733172,0.768135,1.402813,0.962244
1.43364,0.702742,0.673313,0.699765,0.734323,1.331004,0.920883
0.944761,0.63756,0.608426,0.634685,0.668994,1.199739,0.864751
0.909742,1.02729,0.604127,0.632404,0.665975,1.171545,0.827223
0.889945,1.05813,0.622893,0.657125,0.684101,1.155646,0.817782
0.900042,0.662191,0.654147,0.707179,0.709764,1.199312,0.863226
2.14288,2.16612,1.126226,1.220751,1.176608,1.638979,1.27103
3.95999,3.50069,1.458869,1.598331,1.525111,1.888311,1.422515
1.30303,2.96229,1.491306,1.629466,1.615678,1.689146,1.21857
1.18248,1.5814,1.479147,1.560488,1.67932,1.569008,1.052642
1.12233,1.53257,1.372025,1.460327,1.558187,1.389489,0.900788
1.63824,2.72342,1.260831,1.338593,1.397982,1.233833,0.805041
0.793244,1.0742,1.018118,1.078696,1.128057,1.11345,0.702045
0.590768,0.80912,0.768063,0.812617,0.852611,0.84243,0.503513
0.482733,0.537471,0.513548,0.539835,0.569144,0.713957,0.39398
0.434383,0.44368,0.426298,0.445636,0.470853,0.661677,0.345108
0.40553,0.403569,0.389108,0.405384,0.428748,0.632016,0.315679
0.393263,0.389219,0.37499,0.390992,0.414226,0.621306,0.301947
0.414645,0.374667,0.361137,0.376316,0.399161,0.648277,0.320692
0.953165,1.13968,0.399613,0.41706,0.4431,0.738149,0.382858
0.699937,0.629536,0.583381,0.62202,0.686408,1.082051,0.57939
0.815911,0.881473,0.777076,0.856003,0.997052,1.172514,0.709656
0.875712,0.808552,0.715486,0.786491,0.903976,1.215597,0.775643
1.50664,1.48596,0.590005,0.623017,0.671127,1.271123,0.839701
0.963507,0.946509,0.595674,0.622127,0.65709,1.385242,0.851199
0.956962,0.652185,0.622757,0.649209,0.683767,1.263714,0.870327
0.942994,0.63756,0.608426,0.634685,0.668994,1.25026,0.864751
0.899139,0.633492,0.604127,0.632404,0.665975,1.202355,0.827223
0.880116,1.04228,0.622893,0.657125,0.684101,1.183715,0.817782
1.651,1.88372,0.654147,0.707179,0.709764,1.230714,0.863226
0.983335,1.241,0.868288,0.962813,0.91867,1.421128,1.013092
1.20296,1.21774,1.284462,1.423924,1.350704,1.784166,1.248108
1.60698,1.46322,1.491306,1.629466,1.615678,1.751297,1.21857
1.17125,2.13782,1.479147,1.560488,1.67932,1.613255,1.052642
1.11741,1.53257,1.372025,1.460327,1.558187,1.417097,0.900788
1.01321,1.33302,1.260831,1.338593,1.397982,1.293464,0.805041
0.791397,1.49682,1.018118,1.078696,1.128057,1.16965,0.702045
0.590478,0.80912,0.768063,0.812617,0.852611,0.901945,0.503513
0.877095,0.537471,0.513548,0.539835,0.569144,0.769053,0.39398
0.435068,0.44368,0.426298,0.445636,0.470853,0.713974,0.345108
0.405665,0.403569,0.389108,0.405384,0.428748,0.685002,0.315679
0.829352,1.37397,0.37499,0.390992,0.414226,0.667488,0.301947
0.414324,0.374667,0.361137,0.376316,0.399161,0.688034,0.320692
0.47889,0.415955,0.399613,0.41706,0.4431,0.77562,0.382858
0.83056,1.35261,0.583381,0.62202,0.686408,1.125419,0.57939
5.61265,5.07325,0.777076,0.856003,0.997052,1.158426,0.709656
1.69542,3.74158,0.715486,0.786491,0.903976,1.269515,0.775643
0.942817,1.19552,0.590005,0.623017,0.671127,1.292363,0.839701
2.73654,2.7637,0.595674,0.622127,0.65709,1.340786,0.851199
0.955742,0.934418,0.622757,0.649209,0.683767,1.264736,0.870327
0.934151,0.63756,0.608426,0.634685,0.668994,1.254541,0.864751
0.886754,0.633492,0.604127,0.632404,0.665975,1.204866,0.827223
1.3043,1.54048,0.622893,0.657125,0.684101,1.186215,0.817782
0.872767,0.662191,0.654147,0.707179,0.709764,1.24543,0.863226
0.965707,0.837023,0.868288,0.962813,0.91867,1.415049,1.013092
1.1896,1.21774,1.284462,1.423924,1.350704,1.769589,1.248108
1.20255,1.92728,1.491306,1.629466,1.615678,1.753563,1.21857
1.67183,2.1669,1.479147,1.560488,1.67932,1.595311,1.052642
1.11031,1.53257,1.372025,1.460327,1.558187,1.407099,0.900788
1.01085,1.33302,1.260831,1.338593,1.397982,1.251775,0.805041
0.789965,1.43951,1.018118,1.078696,1.128057,1.122925,0.702045
4.13637,5.30938,0.768063,0.812617,0.852611,0.815245,0.503513
0.482052,1.4253,0.513548,0.539835,0.569144,0.710214,0.39398
0.435371,0.44368,0.426298,0.445636,0.470853,0.649374,0.345108
0.407745,0.403569,0.389108,0.405384,0.428748,0.60743,0.315679
0.394087,0.389219,0.37499,0.390992,0.414226,0.583769,0.301947
0.41386,0.374667,0.361137,0.376316,0.399161,0.590294,0.320692
0.477557,0.900638,0.399613,0.41706,0.4431,0.663081,0.382858
1.11975,0.629536,0.583381,0.62202,0.686408,0.952491,0.57939
0.815869,1.45843,0.777076,0.856003,0.997052,1.059883,0.709656
0.870264,0.808552,0.715486,0.786491,0.903976,1.112973,0.775643
0.916722,0.629363,0.590005,0.623017,0.671127,1.1725,0.839701
0.943508,0.625272,0.595674,0.622127,0.65709,1.221194,0.851199
0.932154,0.652185,0.622757,0.649209,0.683767,1.197954,0.870327
1.31606,0.63756,0.608426,0.634685,0.668994,1.175865,0.864751
1.35479,1.27535,0.699878,0.728155,0.761726,1.229792,0.922974
1.2324,0.893972,0.622893,0.657125,0.684101,1.118161,0.817782
1.57047,1.2328,0.732433,0.785465,0.78805,1.239625,0.941512
1.97439,1.91904,0.964243,1.058768,1.014625,1.419454,1.109047
2.1053,3.17478,1.351053,1.490515,1.417295,1.711507,1.314699
1.51372,1.46322,1.491306,1.629466,1.615678,1.650441,1.21857
1.5514,2.31046,1.479147,1.560488,1.67932,1.503428,1.052642
1.1042,2.03499,1.372025,1.460327,1.558187,1.316801,0.900788
1.00261,1.33302,1.260831,1.338593,1.397982,1.161555,0.805041
0.78433,1.0742,1.018118,1.078696,1.128057,1.026212,0.702045
0.582494,0.80912,0.768063,0.812617,0.852611,0.751154,0.503513
0.483461,0.543618,0.519695,0.545982,0.575291,0.624089,0.400127
0.43319,0.841239,0.429986,0.449324,0.474541,0.56146,0.348796
0.80025,0.406028,0.391567,0.407843,0.431207,0.524833,0.318138
0.393166,0.390448,0.376219,0.392221,0.415455,0.510685,0.303176
0.414911,0.377126,0.363596,0.378775,0.40162,0.538649,0.323151
0.479112,1.0126,0.403302,0.420749,0.446789,0.624513,0.386547
2.87783,3.56443,0.593217,0.631856,0.696244,0.880924,0.589226
0.832225,1.37543,0.796748,0.875675,1.016724,1.041101,0.729328
0.89793,1.16365,0.744993,0.815998,0.933483,1.10609,0.80515
1.39497,0.671166,0.631808,0.66482,0.71293,1.182265,0.881504
0.994627,0.673222,0.643624,0.670077,0.70504,1.218961,0.899149
1.78627,2.67701,0.672551,0.699003,0.733561,1.202368,0.920121
0.971429,1.50495,0.653917,0.680176,0.714485,1.185016,0.910242
0.922538,0.67468,0.645315,0.673592,0.707163,1.153047,0.868411
3.61439,2.75609,0.657933,0.692165,0.719141,1.136915,0.852822
2.10461,3.75174,0.691647,0.744679,0.747264,1.189607,0.900726
0.999477,0.870834,0.902099,0.996624,0.952481,1.374066,1.046903
1.21322,1.9749,1.317658,1.45712,1.3839,1.690737,1.281304
1.62153,1.49457,1.522658,1.660818,1.64703,1.707633,1.249922
1.18725,2.03391,1.510499,1.59184,1.710672,1.547609,1.083994
1.13067,1.92227,1.403991,1.492293,1.590153,1.364441,0.932754
1.03162,1.36621,1.294028,1.37179,1.431179,1.239638,0.838238
1.18895,1.10125,1.045167,1.105745,1.155106,1.105132,0.729094
0.582758,1.41162,0.782817,0.827371,0.867365,0.821681,0.518267
0.4656,0.543618,0.519695,0.545982,0.575291,0.675851,0.400127
0.646278,0.447369,0.429986,0.449324,0.474541,0.608004,0.348796
0.571836,0.406028,0.391567,0.407843,0.431207,0.575372,0.318138
0.370223,0.390448,0.376219,0.392221,0.415455,0.567146,0.303176
0.392885,0.770918,0.363596,0.378775,0.40162,0.607701,0.323151
0.457412,0.419643,0.403302,0.420749,0.446789,0.692627,0.386547
1.11844,1.37597,0.593217,0.631856,0.696244,1.022115,0.589226
1.66954,1.59668,0.905954,0.984881,1.12593,1.242028,0.838534
0.878579,0.83806,0.744993,0.815998,0.933483,1.192717,0.80515
0.953361,0.671166,0.631808,0.66482,0.71293,1.273026,0.881504
1.66666,1.45253,0.722241,0.748694,0.783657,1.462789,0.977766
1.25113,0.81957,0.672551,0.699003,0.733561,1.298819,0.920121
0.965293,0.683051,0.653917,0.680176,0.714485,1.244075,0.910242
0.921077,0.67468,0.645315,0.673592,0.707163,1.216126,0.868411
0.897811,0.683562,0.657933,0.692165,0.719141,1.196063,0.852822
0.90412,0.69969,0.691647,0.744679,0.747264,1.239028,0.900726
1.0006,0.870834,0.902099,0.996624,0.952481,1.416052,1.046903
1.697,2.09491,1.317658,1.45712,1.3839,1.745235,1.281304
1.23662,1.49457,1.522658,1.660818,1.64703,1.771635,1.249922
1.1933,1.61275,1.510499,1.59184,1.710672,1.591596,1.083994
2.63545,3.22741,1.536484,1.624786,1.722646,1.558242,1.065247
1.04192,1.36621,1.294028,1.37179,1.431179,1.2844,0.838238
0.817704,1.10125,1.045167,1.105745,1.155106,1.160379,0.729094
1.32281,1.96042,0.782817,0.827371,0.867365,0.887896,0.518267
2.53493,4.00036,0.513548,0.539835,0.569144,0.716686,0.39398
0.437621,0.837409,0.426298,0.445636,0.470853,0.691829,0.345108
0.411537,0.403569,0.389108,0.405384,0.428748,0.667318,0.315679
0.400631,0.389219,0.37499,0.390992,0.414226,0.65805,0.301947
0.421684,0.374667,0.361137,0.376316,0.399161,0.671902,0.320692
4.51161,4.28769,0.399613,0.41706,0.4431,0.723097,0.382858
3.32846,5.12979,0.583381,0.62202,0.686408,1.052024,0.57939
1.42384,3.1567,0.777076,0.856003,0.997052,1.168826,0.709656
1.18841,1.67872,0.715486,0.786491,0.903976,1.222709,0.775643
2.37308,2.51993,0.590005,0.623017,0.671127,1.207127,0.839701
2.49215,3.67711,0.595674,0.622127,0.65709,1.346348,0.851199
0.947976,0.652185,0.622757,0.649209,0.683767,1.268735,0.870327
0.934195,0.63756,0.608426,0.634685,0.668994,1.220961,0.864751
0.890941,0.633492,0.604127,0.632404,0.665975,1.198884,0.827223
0.87497,0.648521,0.622893,0.657125,0.684101,1.180858,0.817782
0.881051,0.662191,0.654147,0.707179,0.709764,1.220934,0.863226
