Zone-1,Zone-2,Zone-3,Zone-4,Zone-5,Zone-6,Zone-7
25.904641,36.079428,24.823655,26.378895,27.646201,21.863282,17.758649
21.446412,37.291283,20.011149,21.222709,22.300798,19.038327,15.469973
18.217439,32.434069,15.516723,16.407803,17.647207,13.754632,11.964963
27.093908,34.551175,10.612602,11.138342,12.244665,11.108234,10.008969
16.392392,22.781839,8.631554,9.018314,9.781746,9.422945,8.495512
22.212338,22.999933,7.874675,8.200195,8.778466,8.193959,7.275689
15.175084,8.188628,7.680822,8.000862,8.582521,7.435837,6.552387
14.841821,7.617282,7.470672,7.774252,8.292102,7.409003,6.502156
9.59783,13.23938,8.535716,8.884656,9.475414,8.843178,7.429522
12.838755,28.321333,12.034747,12.807527,13.979337,12.974149,10.545811
20.808393,41.737696,15.550278,17.128818,19.499878,15.214944,12.161126
32.807986,55.530518,14.709613,16.129713,18.11144,16.397245,13.135056
31.838837,46.322436,12.037902,12.698142,13.331993,17.528493,14.305211
43.078606,44.251811,12.677826,13.206886,12.835306,18.805285,15.643552
37.586614,25.397437,12.77762,13.30666,13.405731,19.7839,16.45756
35.244086,18.405305,12.338872,12.864052,13.955574,20.253895,17.484727
26.669049,16.55807,12.353982,12.919522,14.024859,20.582212,17.95299
23.546234,20.99132,13.830422,14.515062,15.585895,20.503443,17.705085
20.334226,26.590669,15.406105,16.466745,17.258359,20.917694,18.075334
25.689618,37.852797,19.766671,21.657171,19.018984,23.790873,20.707273
40.220352,46.511755,26.239525,29.028765,25.411496,28.796018,23.748651
36.164439,52.297575,30.438047,33.201247,33.842362,30.697018,25.165087
44.185025,51.85466,30.506066,32.132886,36.015571,30.033969,24.91323
37.466232,41.26579,27.671796,29.437836,31.946915,27.092157,21.956406
35.267842,36.217227,24.823655,26.378895,27.646201,22.56091,18.28187
19.060307,25.526095,20.011149,21.222709,22.300798,19.038327,15.469973
17.456566,23.404965,15.516723,16.407803,17.647207,13.754632,11.964963
13.524836,11.137054,10.612602,11.138342,12.244665,11.108234,10.008969
12.183438,9.01418,8.631554,9.018314,9.781746,9.422945,8.495512
9.252434,8.158877,7.874675,8.200195,8.778466,8.193959,7.275689
8.480443,10.095534,7.680822,8.000862,8.582521,7.435837,6.552387
8.346942,9.064726,7.470672,7.774252,8.292102,7.409003,6.502156
12.178599,13.684594,8.535716,8.884656,9.475414,8.843178,7.429522
13.544959,14.883969,12.034747,12.807527,13.979337,12.974149,10.545811
17.115113,23.608517,15.550278,17.128818,19.499878,15.214944,12.161126
16.685757,18.652538,14.265433,15.685533,17.556215,16.397245,13.135056
21.168779,18.852802,11.502543,12.162783,12.635033,17.528493,14.305211
18.27544,17.132313,11.748843,12.277903,12.633082,18.361105,15.199372
21.365908,18.010935,12.090593,12.619633,13.072596,19.137496,16.144291
20.186301,15.317781,11.854069,12.379249,12.915546,19.718536,16.767901
20.485922,17.282716,12.202314,12.767854,13.620411,19.875319,16.983384
18.458409,19.624637,12.79867,13.48331,14.296205,19.806483,17.068614
23.166512,24.342234,13.934663,14.995303,15.354572,20.71547,17.923666
20.772206,25.208907,17.437884,19.328384,18.321356,22.759121,19.675521
26.254801,32.185722,24.244862,27.034102,24.637682,27.066638,22.793085
28.023758,31.958348,29.141012,31.904212,31.255637,29.225576,23.443052
27.503464,36.015267,29.982845,31.609665,34.620315,28.221058,22.31916
26.394036,33.926746,27.671796,29.437836,31.946915,25.18837,20.13615
23.230619,30.111713,24.823655,26.378895,27.646201,21.863282,17.758649
18.618928,24.313191,20.011149,21.222709,22.300798,19.038327,15.469973
13.638779,17.720769,15.516723,16.407803,17.647207,13.754632,11.964963
13.984577,13.250144,10.612602,11.138342,12.244665,11.108234,10.008969
11.086295,11.968445,8.631554,9.018314,9.781746,9.422945,8.495512
11.612832,10.128387,7.874675,8.200195,8.778466,8.193959,7.275689
12.284744,14.817653,7.680822,8.000862,8.582521,7.435837,6.552387
10.405102,12.740772,7.470672,7.774252,8.292102,7.409003,6.502156
11.952681,27.563805,8.535716,8.884656,9.475414,8.843178,7.429522
14.677755,34.956978,12.034747,12.807527,13.979337,12.974149,10.545811
44.660612,56.496326,15.550278,17.128818,19.499878,15.214944,12.161126
30.529275,60.245158,14.265433,15.685533,17.556215,16.397245,13.135056
47.249957,51.058783,11.502543,12.162783,12.635033,17.528493,14.305211
47.403428,44.210954,11.748843,12.277903,12.633082,18.361105,15.199372
38.368491,23.985935,12.090593,12.619633,13.072596,19.137496,16.144291
31.560989,26.74503,11.854069,12.379249,12.915546,19.718536,16.767901
24.031214,16.025681,12.202314,12.767854,13.620411,19.875319,16.983384
26.27438,19.45702,12.79867,13.48331,14.296205,19.806483,17.068614
19.252849,16.478161,13.934663,14.995303,15.354572,20.71547,17.923666
21.602012,22.599669,17.437884,19.328384,18.321356,22.759121,19.675521
22.69966,25.881508,24.244862,27.034102,24.637682,27.066638,22.793085
24.418491,33.245085,29.141012,31.904212,31.255637,29.225576,23.443052
